"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\chuga\Documents\Italio\css\cart.css", "CSS", 0, 0, 0, 1, 1
"c:\Users\chuga\Documents\Italio\css\content.css", "CSS", 0, -1, 0, 5, 4
"c:\Users\chuga\Documents\Italio\css\modal.css", "CSS", 0, 18, 0, 2, 20
"c:\Users\chuga\Documents\Italio\css\navbar.css", "CSS", 0, 38, 0, 8, 46
"c:\Users\chuga\Documents\Italio\css\product.css", "CSS", 0, 3, 0, 0, 3
"c:\Users\chuga\Documents\Italio\css\products.css", "CSS", 0, 0, 0, 1, 1
"c:\Users\chuga\Documents\Italio\css\select.css", "CSS", 0, 6, 0, 2, 8
"c:\Users\chuga\Documents\Italio\css\style.css", "CSS", 0, 4, 0, 0, 4
"c:\Users\chuga\Documents\Italio\src\components\App.js", "JavaScript", 5, 0, 0, 1, 6
"c:\Users\chuga\Documents\Italio\src\components\Cart.js", "JavaScript", 11, 0, 0, 2, 13
"c:\Users\chuga\Documents\Italio\src\components\Content.js", "JavaScript", 0, 0, 0, 2, 2
"c:\Users\chuga\Documents\Italio\src\components\Navbar\Product.js", "JavaScript", -9, 0, 0, -2, -11
"c:\Users\chuga\Documents\Italio\src\components\Navbar\index.js", "JavaScript", 20, 0, 0, 0, 20
"c:\Users\chuga\Documents\Italio\src\components\Product.js", "JavaScript", 9, 0, 0, 2, 11
"c:\Users\chuga\Documents\Italio\src\components\Products.js", "JavaScript", 22, 0, 0, 2, 24
"c:\Users\chuga\Documents\Italio\src\components\base\Modal.js", "JavaScript", 9, 0, 0, 2, 11
"c:\Users\chuga\Documents\Italio\src\components\base\Select.js", "JavaScript", 8, 0, 0, 1, 9
"c:\Users\chuga\Documents\Italio\src\reducer.js", "JavaScript", 17, 0, -15, -2, 0
"c:\Users\chuga\Documents\Italio\util\storage.js", "JavaScript", 19, 0, 0, 2, 21
"Total", "-", 111, 68, -15, 29, 193